Date,Shop_ID,Shop_Name,City,Product_ID,Product_Name,Category,Supplier_Name,Quantity_Stocked,Quantity_Sold,Price_per_Unit (₹),Revenue (₹),Wastage_Units,Storage_Type,Feedback_Score
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,15,15,42.0,630.0,0,Refrigerated,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,48,38,38.0,1444.0,10,Ambient,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,16,13,240.0,3120.0,3,Ice Box,3
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,47,41,72.0,2952.0,6,Refrigerated,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,39,20,25.0,500.0,19,Ambient,3
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,49,39,35.0,1365.0,10,Ambient,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,58,51,420.0,21420.0,7,Ambient,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,70,67,155.0,10385.0,3,Ambient,5
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,64,60,20.0,1200.0,4,Ambient,4
2024-01-01,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,45,36,40.0,1440.0,9,Refrigerated,4
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,31,14,42.0,588.0,17,Refrigerated,3
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,102,Bread (Loaf),Bakery,Britannia,45,44,38.0,1672.0,1,Ambient,4
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,103,Chicken,Meat,Licious Local Agent,36,36,240.0,8640.0,0,Ice Box,4
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,104,Eggs (Dozen),Dairy,NECC,29,13,72.0,936.0,16,Refrigerated,3
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,105,Banana,Fruits,KR Market Supplier,39,27,25.0,675.0,12,Ambient,3
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,106,Spinach,Vegetables,Organic Farm Co-op,23,22,35.0,770.0,1,Ambient,5
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,107,Basmati Rice 5kg,Grocery,India Gate,58,40,420.0,16800.0,18,Ambient,3
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,108,Sunflower Oil 1L,Grocery,Fortune,30,25,155.0,3875.0,5,Ambient,4
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,109,Chips (Large),Snacks,Lays,70,55,20.0,1100.0,15,Ambient,3
2024-01-02,KIR003,Sri Lakshmi Provisions,Bangalore,110,Cold Drink 500ml,Beverages,Coca-Cola,34,32,40.0,1280.0,2,Refrigerated,4
2024-01-03,KIR003,Sri Lakshmi Provisions,Bangalore,101,Milk,Dairy,Nandini Dairy,18,11,42.0,462.0,7,Refrigerated,3
