Unnamed: 0,Date,Manufacturing_Date,Expiry_Date,Days_to_Expiry_at_Sale,Is_Near_Expiry_At_Sale,Product_ID,Product_Name,Category,Company_Name,Is_Perishable,Shelf_Life_Days,Storage_Temperature,Lot_ID,Stock_Batch_Quantity,Quantity_Stocked,Quantity_Sold,Wastage_Units,On_Hand_After_Sale,Near_Expiry_Units,Price_per_Unit,Revenue,Feedback_Score,Supermarket_Branch
0,2023-04-24,2023-04-17,2023-05-08,14,False,5309,Milk 500ml,Dairy,Amul,True,21,Chilled (2-4°C),LOT-20230417-800,320,320,111,20,189,36,30.0,3330.0,4,Supermarket A - Indiranagar
1,2024-12-07,2024-02-18,2025-02-07,62,False,9682,Potato Chips 100g,Snacks,Lays,False,355,Ambient (20-25°C),LOT-20240218-485,830,523,93,19,411,75,52.59,4890.87,4,Supermarket A - Indiranagar
2,2025-03-07,2025-02-21,2025-03-11,4,False,3601,Pomegranate,Fruits,FreshFarms,True,18,Cool (10-15°C),LOT-20250221-662,521,361,164,23,174,0,72.01,11809.64,4,Supermarket A - Indiranagar
3,2026-01-26,2025-02-15,2026-02-11,16,False,9562,Masala Namkeen 150g,Snacks,Haldiram's,False,361,Ambient (20-25°C),LOT-20250215-664,787,459,200,10,249,29,105.66,21132.0,4,Supermarket A - Indiranagar
4,2024-01-30,2024-01-25,2024-01-31,1,True,7863,Mutton Curry Cut 500g,Meat,Licious,True,6,Frozen (-18°C),LOT-20240125-205,430,305,74,35,196,196,349.53,25865.22,3,Supermarket A - Indiranagar
5,2024-11-06,2024-04-06,2025-02-19,105,False,9380,Biscuit 200g,Snacks,Parle,False,319,Ambient (20-25°C),LOT-20240406-351,882,577,266,14,297,25,64.41,17133.06,3,Supermarket A - Indiranagar
6,2023-01-15,2023-01-15,2023-01-26,11,False,4930,Potato,Vegetables,Namdhari,True,11,Cool (10-15°C),LOT-20230115-956,587,489,244,35,210,39,47.81,11665.64,4,Supermarket A - Indiranagar
7,2024-02-24,2024-02-11,2024-02-24,0,True,3005,Pomegranate,Fruits,FreshFarms,True,13,Cool (10-15°C),LOT-20240211-827,642,615,160,66,389,389,54.72,8755.2,3,Supermarket A - Indiranagar
8,2024-02-04,2024-02-02,2024-02-07,3,True,6096,Sandwich Bread,Bakery,Britannia,True,5,Ambient (20-25°C),LOT-20240202-492,407,305,184,14,107,107,66.74,12280.16,4,Supermarket A - Indiranagar
9,2024-02-17,2024-02-11,2024-02-20,3,True,7682,Chicken Breast 500g,Meat,Licious,True,9,Frozen (-18°C),LOT-20240211-848,287,209,127,13,69,69,381.71,48477.17,4,Supermarket A - Indiranagar
10,2025-04-02,2025-03-06,2025-10-15,196,False,8628,Cold Coffee 200ml,Beverages,Nestlé,False,223,Ambient (20-25°C),LOT-20250306-719,1105,802,298,21,483,61,109.09,32508.82,4,Supermarket A - Indiranagar
11,2023-12-30,2023-12-25,2024-01-03,4,False,4472,Spinach,Vegetables,FarmGate,True,9,Cool (10-15°C),LOT-20231225-555,303,303,124,17,162,10,46.16,5723.84,3,Supermarket A - Indiranagar
12,2025-04-09,2025-04-09,2025-04-14,5,False,7997,Chicken Breast 500g,Meat,Licious,True,5,Frozen (-18°C),LOT-20250409-541,212,147,75,9,63,0,171.15,12836.25,4,Supermarket A - Indiranagar
13,2024-02-12,2024-02-07,2024-02-14,2,True,4401,Tomato,Vegetables,Namdhari,True,7,Cool (10-15°C),LOT-20240207-229,125,115,52,7,56,56,39.88,2073.76,4,Supermarket A - Indiranagar
14,2023-12-02,2023-07-17,2024-01-20,49,False,8147,Packaged Water 1L,Beverages,Bisleri,False,187,Ambient (20-25°C),LOT-20230717-610,751,461,216,6,239,36,19.28,4164.48,4,Supermarket A - Indiranagar
15,2025-04-07,2025-03-30,2025-04-12,5,False,4572,Potato,Vegetables,Namdhari,True,13,Cool (10-15°C),LOT-20250330-739,687,487,198,38,251,73,45.41,8991.18,4,Supermarket A - Indiranagar
16,2023-11-05,2023-10-31,2023-11-07,2,True,4404,Potato,Vegetables,Namdhari,True,7,Cool (10-15°C),LOT-20231031-751,650,469,303,24,142,142,23.49,7117.47,3,Supermarket A - Indiranagar
17,2025-04-03,2024-11-03,2025-06-30,88,False,9338,Potato Chips 100g,Snacks,Lays,False,239,Ambient (20-25°C),LOT-20241103-727,933,771,330,11,430,20,11.29,3725.7,3,Supermarket A - Indiranagar
18,2024-12-28,2024-12-20,2024-12-29,1,True,5640,Yogurt Cup,Dairy,Nestlé,True,9,Chilled (2-4°C),LOT-20241220-260,499,320,222,14,84,84,37.88,8409.36,3,Supermarket A - Indiranagar
19,2025-06-06,2025-06-01,2025-06-07,1,True,6277,Brown Bread,Bakery,Britannia,True,6,Ambient (20-25°C),LOT-20250601-474,580,275,162,13,100,100,117.99,19114.38,3,Supermarket A - Indiranagar
20,2024-04-29,2024-04-25,2024-05-16,17,False,5323,Yogurt Cup,Dairy,Nestlé,True,21,Chilled (2-4°C),LOT-20240425-928,917,637,251,51,335,26,96.86,24311.86,4,Supermarket A - Indiranagar
21,2025-01-09,2025-01-04,2025-01-19,10,False,3393,Grapes,Fruits,Reliance Fresh,True,15,Cool (10-15°C),LOT-20250104-669,595,320,131,21,168,42,62.28,8158.68,4,Supermarket A - Indiranagar
22,2024-04-30,2024-04-21,2024-05-02,2,True,7400,Mutton Curry Cut 500g,Meat,Licious,True,11,Frozen (-18°C),LOT-20240421-858,267,166,54,9,103,103,275.68,14886.72,4,Supermarket A - Indiranagar
23,2024-04-16,2024-04-15,2024-04-24,8,False,3783,Grapes,Fruits,Reliance Fresh,True,9,Cool (10-15°C),LOT-20240415-933,783,468,256,22,190,2,59.53,15239.68,5,Supermarket A - Indiranagar
24,2023-09-25,2023-09-21,2023-10-02,7,False,5820,Yogurt Cup,Dairy,Nestlé,True,11,Chilled (2-4°C),LOT-20230921-671,582,296,172,15,109,20,28.53,4907.16,4,Supermarket A - Indiranagar
25,2024-09-29,2024-09-27,2024-10-05,6,False,3908,Mango,Fruits,FreshFarms,True,8,Cool (10-15°C),LOT-20240927-756,303,121,52,5,64,8,96.96,5041.92,4,Supermarket A - Indiranagar
26,2025-01-21,2025-01-20,2025-01-27,6,False,5076,Milk 500ml,Dairy,Amul,True,7,Chilled (2-4°C),LOT-20250120-195,764,581,388,24,169,21,86.02,33375.76,5,Supermarket A - Indiranagar
27,2023-03-27,2023-03-27,2023-04-01,5,False,6522,Brown Bread,Bakery,Britannia,True,5,Ambient (20-25°C),LOT-20230327-384,464,455,92,43,320,38,34.29,3154.68,4,Supermarket A - Indiranagar
28,2025-09-07,2025-03-12,2025-10-17,40,False,9160,Chocolate Bar 45g,Snacks,Cadbury,False,219,Ambient (20-25°C),LOT-20250312-322,1378,981,412,37,532,138,105.75,43569.0,4,Supermarket A - Indiranagar
29,2025-05-01,2024-11-20,2025-08-18,109,False,9285,Masala Namkeen 150g,Snacks,Haldiram's,False,271,Ambient (20-25°C),LOT-20241120-479,934,615,309,17,289,17,124.89,38591.01,4,Supermarket A - Indiranagar
30,2025-07-04,2025-06-16,2025-07-06,2,True,3501,Mango,Fruits,FreshFarms,True,20,Cool (10-15°C),LOT-20250616-853,427,312,127,17,168,168,58.71,7456.17,4,Supermarket A - Indiranagar
31,2024-02-24,2024-02-17,2024-02-26,2,True,4099,Potato,Vegetables,Namdhari,True,9,Cool (10-15°C),LOT-20240217-519,567,390,275,14,101,101,39.66,10906.5,2,Supermarket A - Indiranagar
32,2023-04-29,2023-04-06,2023-04-30,1,True,5699,Curd 400g,Dairy,Amul,True,24,Chilled (2-4°C),LOT-20230406-762,732,464,311,16,137,137,95.45,29684.95,4,Supermarket A - Indiranagar
33,2024-02-08,2024-01-31,2024-02-10,2,True,3069,Mango,Fruits,FreshFarms,True,10,Cool (10-15°C),LOT-20240131-175,558,380,133,23,224,224,90.91,12091.03,1,Supermarket A - Indiranagar
34,2025-06-13,2025-06-09,2025-06-16,3,True,4230,Tomato,Vegetables,Namdhari,True,7,Cool (10-15°C),LOT-20250609-583,772,587,395,28,164,164,58.59,23143.05,4,Supermarket A - Indiranagar
35,2023-06-26,2023-06-17,2023-07-06,10,False,3132,Apple,Fruits,Del Monte,True,19,Cool (10-15°C),LOT-20230617-492,583,484,162,29,293,86,37.32,6045.84,3,Supermarket A - Indiranagar
36,2024-02-21,2024-02-19,2024-02-29,8,False,4638,Spinach,Vegetables,FarmGate,True,10,Cool (10-15°C),LOT-20240219-544,721,409,197,22,190,23,26.19,5159.43,3,Supermarket A - Indiranagar
37,2024-04-08,2024-03-31,2024-04-18,10,False,3058,Apple,Fruits,Del Monte,True,18,Cool (10-15°C),LOT-20240331-100,334,271,107,20,144,18,66.02,7064.14,4,Supermarket A - Indiranagar
38,2025-04-22,2025-04-08,2025-04-27,5,False,3259,Mango,Fruits,FreshFarms,True,19,Cool (10-15°C),LOT-20250408-248,474,352,129,40,183,38,92.59,11944.11,3,Supermarket A - Indiranagar
39,2023-08-23,2023-01-12,2023-11-12,81,False,9178,Masala Namkeen 150g,Snacks,Haldiram's,False,304,Ambient (20-25°C),LOT-20230112-883,883,747,242,25,480,50,96.82,23430.44,3,Supermarket A - Indiranagar
40,2023-02-13,2023-02-10,2023-02-21,8,False,4547,Carrot,Vegetables,FarmGate,True,11,Cool (10-15°C),LOT-20230210-803,425,294,217,7,70,2,27.59,5987.03,3,Supermarket A - Indiranagar
41,2025-07-17,2025-06-01,2025-11-19,125,False,8282,Orange Juice 1L,Beverages,Real,False,171,Ambient (20-25°C),LOT-20250601-549,715,520,210,24,286,32,58.18,12217.8,5,Supermarket A - Indiranagar
42,2025-05-02,2025-04-06,2025-05-04,2,True,5977,Milk 500ml,Dairy,Amul,True,28,Chilled (2-4°C),LOT-20250406-788,482,426,224,29,173,173,61.48,13771.52,3,Supermarket A - Indiranagar
43,2025-05-21,2025-05-19,2025-05-22,1,True,6685,Pav 6pc,Bakery,Modern Foods,True,3,Ambient (20-25°C),LOT-20250519-536,739,583,227,44,312,312,96.92,22000.84,3,Supermarket A - Indiranagar
44,2024-03-24,2024-03-24,2024-03-28,4,False,6268,Sandwich Bread,Bakery,Britannia,True,4,Ambient (20-25°C),LOT-20240324-587,269,239,145,14,80,12,35.79,5189.55,5,Supermarket A - Indiranagar
45,2024-09-01,2024-01-24,2024-12-14,104,False,8422,Soda 500ml,Beverages,Coca-Cola,False,325,Ambient (20-25°C),LOT-20240124-862,746,492,198,17,277,17,18.02,3567.96,5,Supermarket A - Indiranagar
46,2025-03-17,2025-03-16,2025-03-20,3,True,6335,Sandwich Bread,Bakery,Britannia,True,4,Ambient (20-25°C),LOT-20250316-197,623,623,412,25,186,186,33.65,13863.8,5,Supermarket A - Indiranagar
