Unnamed: 0,Date,Manufacturing_Date,Expiry_Date,Days_to_Expiry_at_Sale,Is_Near_Expiry_At_Sale,Product_ID,Product_Name,Category,Company_Name,Is_Perishable,Shelf_Life_Days,Storage_Temperature,Lot_ID,Stock_Batch_Quantity,Quantity_Stocked,Quantity_Sold,Wastage_Units,On_Hand_After_Sale,Near_Expiry_Units,Price_per_Unit,Revenue,Feedback_Score,Supermarket_Branch
0,2023-02-25,2023-02-24,2023-03-09,12,False,5455,Butter 100g,Dairy,Amul,True,13,Chilled (2-4°C),LOT-20230224-919,214,135,90,5,40,8,51.33,4619.7,3,Supermarket B - Whitefield
1,2025-05-13,2025-05-09,2025-05-15,2,True,6027,Sandwich Bread,Bakery,Britannia,True,6,Ambient (20-25°C),LOT-20250509-466,311,246,128,11,107,107,62.84,8043.52,3,Supermarket B - Whitefield
2,2025-11-09,2025-03-06,2025-12-22,43,False,9164,Chocolate Bar 45g,Snacks,Cadbury,False,291,Ambient (20-25°C),LOT-20250306-108,796,480,190,13,277,1,34.63,6579.7,4,Supermarket B - Whitefield
3,2024-11-14,2024-11-12,2024-11-17,3,True,6221,Sandwich Bread,Bakery,Britannia,True,5,Ambient (20-25°C),LOT-20241112-683,778,743,387,38,318,318,84.21,32589.27,4,Supermarket B - Whitefield
4,2023-10-26,2023-10-24,2023-11-08,13,False,3903,Banana,Fruits,FreshFarms,True,15,Cool (10-15°C),LOT-20231024-623,512,428,231,26,171,17,38.9,8985.9,5,Supermarket B - Whitefield
5,2024-05-07,2024-05-04,2024-05-16,9,False,4577,Onion,Vegetables,Namdhari,True,12,Cool (10-15°C),LOT-20240504-943,557,557,296,26,235,45,35.94,10638.24,5,Supermarket B - Whitefield
6,2024-05-16,2024-01-08,2024-05-17,1,True,9389,Biscuit 200g,Snacks,Parle,False,130,Ambient (20-25°C),LOT-20240108-485,1145,969,313,31,625,625,141.84,44395.92,4,Supermarket B - Whitefield
7,2025-04-01,2024-12-05,2025-09-23,175,False,9028,Biscuit 200g,Snacks,Parle,False,292,Ambient (20-25°C),LOT-20241205-484,1064,725,272,23,430,6,77.08,20965.76,5,Supermarket B - Whitefield
8,2023-03-13,2023-03-12,2023-04-05,23,False,5907,Milk 500ml,Dairy,Amul,True,24,Chilled (2-4°C),LOT-20230312-722,259,164,103,7,54,1,54.85,5649.55,4,Supermarket B - Whitefield
9,2024-03-04,2024-02-13,2024-03-06,2,True,5405,Butter 100g,Dairy,Amul,True,22,Chilled (2-4°C),LOT-20240213-947,408,215,94,16,105,105,52.31,4917.14,3,Supermarket B - Whitefield
10,2024-12-12,2024-12-12,2024-12-24,12,False,3064,Grapes,Fruits,Reliance Fresh,True,12,Cool (10-15°C),LOT-20241212-525,499,224,178,3,43,5,36.52,6500.56,5,Supermarket B - Whitefield
11,2023-02-23,2023-02-16,2023-03-06,11,False,3459,Banana,Fruits,FreshFarms,True,18,Cool (10-15°C),LOT-20230216-881,506,403,161,25,217,12,108.27,17431.47,5,Supermarket B - Whitefield
12,2024-09-12,2024-07-14,2025-06-19,280,False,8798,Packaged Water 1L,Beverages,Bisleri,False,340,Ambient (20-25°C),LOT-20240714-533,919,601,319,12,270,48,51.03,16278.57,5,Supermarket B - Whitefield
13,2024-12-07,2024-05-25,2025-04-27,141,False,8469,Packaged Water 1L,Beverages,Bisleri,False,337,Ambient (20-25°C),LOT-20240525-444,867,651,222,23,406,28,68.82,15278.04,4,Supermarket B - Whitefield
